1,Apple iPhone 12,Latest model of iPhone with advanced features,50,999.99,100,10,John Doe,1
2,Samsung Galaxy S21,Flagship Android smartphone with high-performance specs,30,899.99,80,5,Jane Smith,1
3,Dell XPS 15,Laptop with powerful performance and stunning display,20,1599.99,50,8,Michael Johnson,2
4,Logitech MX Master 3,Advanced wireless mouse with customizable buttons,100,99.99,200,15,Sarah Thompson,3
5,Bose QuietComfort 35 II,Wireless noise-canceling headphones for immersive audio,80,299.99,150,12,Robert Davis,4
6,Sony PlayStation 5,Next-gen gaming console with high-fidelity graphics,40,499.99,60,6,Emily Wilson,5
7,Samsung 65 QLED 4K TV,Ultra HD smart TV with vibrant colors and HDR support,10,1499.99,30,3,Andrew Anderson,6
8,Nintendo Switch,Hybrid gaming console for home and portable play,60,299.99,100,9,Amy Garcia,5
9,Canon EOS 5D Mark IV,Professional DSLR camera with exceptional image quality,15,2499.99,25,4,David Rodriguez,7
10,Bose SoundLink Revolve,Portable Bluetooth speaker with 360-degree sound,70,199.99,120,10,Laura Thompson,8